260.6,0.19485,1.9177,0.19493,1.9187,0.18029,1.9534,0.18025,1.9537
260.7,0.19478,1.9174,0.19486,1.9184,0.18021,1.9532,0.18016,1.9535
260.8,0.19471,1.9172,0.19479,1.9181,0.18012,1.9531,0.18007,1.9534
260.9,0.19464,1.9169,0.19472,1.9179,0.18003,1.9529,0.17999,1.9532
261,0.19457,1.9167,0.19465,1.9176,0.17995,1.9527,0.1799,1.953
261.1,0.1945,1.9164,0.19458,1.9173,0.17986,1.9525,0.17982,1.9528
261.2,0.19443,1.9161,0.19451,1.9171,0.17977,1.9523,0.17973,1.9526
261.3,0.19436,1.9159,0.19444,1.9168,0.17969,1.9521,0.17964,1.9524
261.4,0.19429,1.9156,0.19437,1.9166,0.1796,1.9519,0.17956,1.9523
261.5,0.19422,1.9153,0.1943,1.9163,0.17952,1.9518,0.17947,1.9521
261.6,0.19415,1.9151,0.19423,1.916,0.17943,1.9516,0.17939,1.9519
261.7,0.19408,1.9148,0.19416,1.9158,0.17934,1.9514,0.1793,1.9517
261.8,0.19401,1.9145,0.19409,1.9155,0.17926,1.9512,0.17921,1.9515
261.9,0.19394,1.9143,0.19402,1.9152,0.17917,1.951,0.17913,1.9513
262,0.19387,1.914,0.19395,1.915,0.17909,1.9508,0.17904,1.9511
262.1,0.1938,1.9138,0.19388,1.9147,0.179,1.9507,0.17896,1.951
262.2,0.19373,1.9135,0.19381,1.9145,0.17891,1.9505,0.17887,1.9508
262.3,0.19366,1.9132,0.19374,1.9142,0.17883,1.9503,0.17878,1.9506
262.4,0.19359,1.913,0.19367,1.9139,0.17874,1.9501,0.1787,1.9504
262.5,0.19352,1.9127,0.19361,1.9137,0.17866,1.9499,0.17861,1.9502
262.6,0.19345,1.9124,0.19354,1.9134,0.17857,1.9497,0.17853,1.9501
262.7,0.19338,1.9122,0.19347,1.9132,0.17849,1.9496,0.17844,1.9499
262.8,0.19331,1.9119,0.1934,1.9129,0.1784,1.9494,0.17836,1.9497
262.9,0.19324,1.9117,0.19333,1.9126,0.17832,1.9492,0.17827,1.9495
263,0.19317,1.9114,0.19326,1.9124,0.17823,1.949,0.17818,1.9493
263.1,0.1931,1.9111,0.19319,1.9121,0.17814,1.9488,0.1781,1.9492
263.2,0.19303,1.9109,0.19312,1.9119,0.17806,1.9487,0.17801,1.949
263.3,0.19296,1.9106,0.19305,1.9116,0.17797,1.9485,0.17793,1.9488
263.4,0.19289,1.9103,0.19298,1.9113,0.17789,1.9483,0.17784,1.9486
263.5,0.19282,1.9101,0.19291,1.9111,0.1778,1.9481,0.17776,1.9484
263.6,0.19275,1.9098,0.19284,1.9108,0.17772,1.9479,0.17767,1.9483
263.7,0.19268,1.9096,0.19277,1.9106,0.17763,1.9478,0.17758,1.9481
263.8,0.19261,1.9093,0.1927,1.9103,0.17755,1.9476,0.1775,1.9479
263.9,0.19254,1.9091,0.19263,1.9101,0.17746,1.9474,0.17741,1.9477
264,0.19247,1.9088,0.19256,1.9098,0.17737,1.9472,0.17733,1.9476
264.1,0.1924,1.9085,0.19249,1.9095,0.17729,1.9471,0.17724,1.9474
264.2,0.19233,1.9083,0.19242,1.9093,0.1772,1.9469,0.17716,1.9472
264.3,0.19226,1.908,0.19235,1.909,0.17712,1.9467,0.17707,1.947
264.4,0.19219,1.9078,0.19229,1.9088,0.17703,1.9465,0.17699,1.9469
264.5,0.19212,1.9075,0.19222,1.9085,0.17695,1.9464,0.1769,1.9467
264.6,0.19205,1.9073,0.19215,1.9083,0.17686,1.9462,0.17681,1.9465
264.7,0.19198,1.907,0.19208,1.908,0.17677,1.946,0.17673,1.9464
